country_name,agriculture_2010,industry_2010
Afghanistan,29.91532348,22.16705329
Albania,20.16002904,19.30973613
Algeria,6.915570641,62.12346203
Angola,9.8421845,62.45328462
Antigua and Barbuda,2.000780579,18.83623342
Argentina,10.00347112,30.93413152
Armenia,19.57784171,35.96184246
Australia,2.284058842,19.80538997
Austria,1.531411413,29.08003805
Azerbaijan,5.75301236,64.71989971
Bangladesh,18.58781574,28.45636906
Belarus,9.224603636,43.91188409
Belgium,0.697391975,21.79063136
Bermuda,0.772928386,7.790854079
Bolivia,12.85313726,37.2904468
Bosnia and Herzegovina,7.599480386,28.00961956
Botswana,2.470568007,45.12090698
Brazil,5.304226816,26.82141212
Bulgaria,5.356905825,31.38582608
Cambodia,36.01958712,23.25194953
Cape Verde,9.931001627,16.20687422
Chile,3.448490308,42.93535277
China,10.0953195,46.75475197
Colombia,7.038334156,36.22588631
"Congo, Rep.",3.830400598,75.37719734
Costa Rica,6.852428597,26.14169075
Cote d'Ivoire,22.80391121,27.38742814
Croatia,5.514840253,27.28088066
Cuba,4.991896186,20.51795785
Denmark,1.187324174,21.89124394
Dominica,13.24758459,15.10200235
Ecuador,6.971391819,38.11514557
Egypt,13.98981905,37.52552103
El Salvador,12.55223979,26.99184673
Ethiopia,47.74127993,14.2825286
Fiji,12.11408146,19.7008757
Finland,2.894153567,29.04309612
Gabon,4.078233423,59.70340518
Gambia,28.45947084,15.72921366
Georgia,8.405663776,23.22824882
Germany,0.878740172,28.16524646
Ghana,29.9279868,18.64120486
Grenada,5.330160971,14.1570016
Guatemala,38.69430566,19.49900518
Guinea,12.97016298,47.38324155
Guyana,21.03301889,32.74926357
Honduras,12.51791048,26.54348682
Hungary,3.526911278,31.03276616
India,17.74227891,26.28648725
Indonesia,15.30612418,47.0460808
Italy,1.894669911,25.17150226
Jamaica,6.286820482,22.43685474
Jordan,3.416266213,30.57108916
Kazakhstan,4.826025783,42.41031934
Kenya,25.17906763,19.81796732
Kosovo,12,20
Latvia,4.137770783,21.80873741
Lebanon,6.389376196,21.45068222
Lesotho,8.625456536,31.86675591
Lithuania,3.50621021,28.15776334
Luxembourg,0.29348052,12.82370382
"Macedonia, FYR",11.27022469,27.84328024
Malaysia,10.62706161,44.40743281
Maldives,3.14233281,14.53572417
Mauritania,17.14623689,43.91027402
Mauritius,3.645972436,26.94285613
Mexico,3.91112412,34.30981973
Moldova,14.32840805,13.15979965
Mongolia,16.22147525,37.5189721
Montenegro,9.194596398,19.54567749
Morocco,15.37879019,29.66236575
Mozambique,31.85200415,23.391312
Namibia,7.502314204,19.61326523
Nepal,36.52847708,15.43427014
Netherlands,1.959800046,23.89123081
Nicaragua,20.77145342,29.78167863
Norway,1.61126574,40.20970642
Pakistan,21.177598,25.43386901
Panama,4.033691158,16.78822333
Papua New Guinea,35.79184164,44.75383278
Paraguay,22.27841672,20.41254442
Peru,8.487908006,34.25212292
Philippines,12.31432783,32.56828478
Poland,3.53731105,31.63402269
Portugal,2.434275101,23.06514221
Puerto Rico,0.574690553,50.11775339
Romania,7.143339125,26.1958376
Russia,4.042329269,36.67729942
Samoa,9.77446305,28.24796684
Saudi Arabia,2.485462623,61.96989199
Senegal,17.40035229,22.35421469
Serbia,9.047256851,26.64476223
Sierra Leone,48.96579772,20.66399088
Singapore,0.034911062,28.26657508
Slovak Republic,3.861012407,34.94274653
Slovenia,2.457258497,31.60267907
South Africa,2.478327176,30.79522055
Spain,2.710297091,25.66908987
Sri Lanka,12.79226795,29.43674595
Sudan,23.62894146,33.04234013
Swaziland,7.970969272,46.53902798
Sweden,1.833781323,26.64930586
Switzerland,1.124921013,27.12089785
Tajikistan,21.34009623,22.02431146
Tanzania,28.05761485,25.47653337
Thailand,12.38821549,44.65393301
Tonga,20.34451008,17.79157497
Trinidad and Tobago,0.573225095,52.39670457
Tunisia,8.005144006,32.27898466
Turkey,9.599536299,26.65035821
Turkmenistan,12,54
Uganda,24.24898299,25.46605068
Ukraine,8.169961014,30.94689727
United Kingdom,0.724406868,21.67041593
Uruguay,9.470537052,26.46505565
Uzbekistan,19.52940302,35.4033305
Vietnam,20.57873285,41.09542363
Zambia,9.158563425,37.23095512
Zimbabwe,16.00242152,26.80045053
